league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
15722,8031,SV Darmstadt 98,78537,Adrian Klepczynski,62,30,60,56,61,36
15722,8031,SV Darmstadt 98,13329,Blazej Telichowski,62,54,65,63,64,60
15722,8031,SV Darmstadt 98,136540,Krzysztof Krol,62,49,72,64,71,53
15722,8031,SV Darmstadt 98,115268,Michal Peskovic,66,25,37,25,25,25
15722,8033,SV Darmstadt 98,68744,Dariusz Pietrasiak,69,35,57,77,64,60
15722,8033,SV Darmstadt 98,34037,Ireneusz Jelen,81,89,85,68,31,87
15722,8033,SV Darmstadt 98,433628,Kamil Kurowski,73,66,80,65,52,73
15722,8033,SV Darmstadt 98,69346,Maciej Iwanski,72,66,65,62,64,69
15722,8033,SV Darmstadt 98,186968,Mateusz Mozdzen,69,62,80,54,68,69
19694,8066,SV Darmstadt 98,162549,Aaron Doran,71,69,82,55,23,68
19694,8066,SV Darmstadt 98,31916,Adam Rooney,71,76,72,25,25,73
19694,8066,SV Darmstadt 98,177760,Billy McKay,72,77,75,40,25,83
19694,8066,SV Darmstadt 98,32622,Chris Hogg,71,36,69,68,74,67
19694,8066,SV Darmstadt 98,32942,Don Cowie,72,62,73,66,66,70
19694,8066,SV Darmstadt 98,206429,Gil Blumenshtein,72,47,77,74,70,68
19694,8066,SV Darmstadt 98,180274,Graeme Shinnie,73,23,82,69,74,54
19694,8066,SV Darmstadt 98,32670,Grant Munro,71,32,52,59,74,54
4769,8121,SV Darmstadt 98,173955,Abdoul Razzagui Camara,72,72,85,47,25,71
4769,8121,SV Darmstadt 98,179901,Billy Ketkeophomphone,73,72,84,42,25,76
4769,8121,SV Darmstadt 98,426612,Cheikh Ndoye,76,72,67,72,72,77
4769,8121,SV Darmstadt 98,187669,Gilles Sunu,72,70,82,36,29,71
4769,8121,SV Darmstadt 98,26327,Gregory Bourillon,76,32,60,73,78,78
4769,8121,SV Darmstadt 98,78411,Ismael Traore,72,25,64,71,74,62
4769,8121,SV Darmstadt 98,34003,Ludovic Butelle,76,25,58,78,25,76
7809,8152,SV Darmstadt 98,155534,Bastian Oczipka,75,55,75,74,72,65
7809,8152,SV Darmstadt 98,106309,Carlos Zambrano,77,50,72,75,78,65
7809,8152,SV Darmstadt 98,35852,Fin Bartels,75,70,83,61,40,73
7809,8152,SV Darmstadt 98,30702,Gerald Asamoah,75,72,82,72,56,76
7809,8152,SV Darmstadt 98,27447,Mathias Hain,76,23,65,52,30,20
7809,8152,SV Darmstadt 98,36086,Matthias Lehmann,75,69,76,77,71,72
7809,8152,SV Darmstadt 98,58346,Max Kruse,81,81,75,55,54,84
7809,8165,SV Darmstadt 98,27438,Andreas Wolf,79,30,71,69,84,79
7809,8165,SV Darmstadt 98,141145,Daniel Didavi,79,80,77,50,31,81
