league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
4769,2010/2011,9941,"Toulouse FC",1.00,1.34,1.00,1.15
4769,2010/2011,108893,"AC Arles-Avignon",0.74,1.34,0.37,1.15
4769,2010/2011,9827,"Girondins de Bordeaux",1.16,1.34,1.11,1.15
4769,2010/2011,8639,"LOSC Lille",2.11,1.34,1.47,1.15
4769,2010/2011,9829,"AS Monaco",0.84,1.34,1.05,1.15
4769,2010/2011,8481,"AS Nancy-Lorraine",1.21,1.34,1.05,1.15
4769,2010/2011,9853,"AS Saint-Étienne",1.53,1.34,0.89,1.15
4769,2010/2011,8521,"Stade Brestois 29",1.11,1.34,0.79,1.15
4769,2010/2011,7819,"SM Caen",1.16,1.34,1.26,1.15
4769,2010/2011,8689,"FC Lorient",1.42,1.34,1.00,1.15
4769,2010/2011,9873,"Valenciennes FC",1.47,1.34,0.89,1.15
4769,2011/2012,8576,"AC Ajaccio",1.16,1.34,0.95,1.55
4769,2011/2012,9827,"Girondins de Bordeaux",1.32,1.34,1.47,1.55
4769,2011/2012,8521,"Stade Brestois 29",1.16,1.34,0.47,1.55
4769,2011/2012,7819,"SM Caen",1.05,1.34,1.00,1.55
4769,2011/2012,9836,"Dijon FCO",1.21,1.34,0.79,1.55
4769,2011/2012,8592,"Olympique de Marseille",1.37,1.34,1.00,1.55
4769,2011/2012,10249,"Montpellier Hérault SC",1.95,1.34,1.63,1.55
4769,2011/2012,8481,"AS Nancy-Lorraine",1.26,1.34,0.74,1.55
4769,2011/2012,9831,"OGC Nice",1.11,1.34,0.95,1.55
4769,2011/2012,9847,"Paris Saint-Germain",2.21,1.34,1.74,1.55
4769,2011/2012,8583,"AJ Auxerre",1.58,1.34,0.84,1.55
4769,2011/2012,4087,"Évian Thonon Gaillard FC",1.53,1.34,1.32,1.55
4769,2011/2012,9748,"Olympique Lyonnais",2.32,1.34,1.05,1.55
4769,2011/2012,9851,"Stade Rennais FC",1.58,1.34,1.21,1.55
4769,2011/2012,9941,"Toulouse FC",1.05,1.34,0.89,1.55
4769,2011/2012,9873,"Valenciennes FC",1.53,1.34,0.58,1.55
4769,2011/2012,8639,"LOSC Lille",2.53,1.34,1.26,1.55
